1,"WAP (feat. Megan Thee Stallion)",Cardi B,6924489,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,Hawái,Maluma,6400816,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
3,Dynamite,BTS,4697675,https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE
4,"Mood (feat. Iann Dior)",24kGoldn,4466643,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Savage Love (Laxed - Siren Beat)",Jawsh 685,4255628,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"Ice Cream (with Selena Gomez)",BLACKPINK,4221807,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
7,"Watermelon Sugar",Harry Styles,4022227,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
8,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3889619,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
9,"Blinding Lights",The Weeknd,3883530,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"Laugh Now Cry Later (feat. Lil Durk)",Drake,3764536,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
11,"Roses - Imanbek Remix",SAINt JHN,2804811,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
12,"Ay DiOs Mío!",KAROL G,2664165,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
13,"Breaking Me",Topic,2639275,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
14,"Mood Swings (feat. Lil Tjay)",Pop Smoke,2632828,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
15,"UN DIA (ONE DAY) (Feat. Tainy)",J Balvin,2559766,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
16,"Head & Heart (feat. MNEK)",Joel Corry,2510869,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"For The Night (feat. Lil Baby & DaBaby)",Pop Smoke,2406554,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
18,"La Jeepeta - Remix",Nio Garcia,2385607,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
19,"La Curiosidad",Jay Wheeler,2379352,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
20,Caramelo,Ozuna,2285615,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
21,"Tattoo - Remix with Camilo",Rauw Alejandro,2278864,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
22,"Over Now (with The Weeknd)",Calvin Harris,2271275,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
23,"Dance Monkey",Tones And I,2246382,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
24,Heather,Conan Gray,2223210,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
25,"Come & Go (with Marshmello)",Juice WRLD,2198940,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
26,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,2112893,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
27,Relación,Sech,2101346,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
28,"Smile (with The Weeknd)",Juice WRLD,2012169,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
29,"death bed (coffee for your head)",Powfu,1923130,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
30,"Wishing Well",Juice WRLD,1917971,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
31,"Someone You Loved",Lewis Capaldi,1871860,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,"How You Like That",BLACKPINK,1854489,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
33,"Midnight Sky",Miley Cyrus,1838348,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
34,"WHATS POPPIN (feat. DaBaby Tory Lanez & Lil Wayne) - Remix",Jack Harlow,1834719,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
35,"Lemonade (feat. Gunna Don Toliver & NAV)",Internet Money,1832877,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
36,"Rain On Me (with Ariana Grande)",Lady Gaga,1819868,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
37,MAMACITA,Black Eyed Peas,1796296,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
38,"Djadja (feat. Maluma) - Remix",Aya Nakamura,1751845,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
39,"Don't Start Now",Dua Lipa,1749592,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
40,"Go Crazy",Chris Brown,1746475,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
41,"Before You Go",Lewis Capaldi,1734340,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
42,"Break My Heart",Dua Lipa,1711478,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
